,Date,Low,High,Close,Open
0,2012-05-18,38.0,45.0,38.2318,42.05
1,2012-05-21,33.0,36.66,34.03,36.53
2,2012-05-22,30.94,33.59,31.0,32.61
3,2012-05-23,31.36,32.5,32.0,31.37
4,2012-05-24,31.77,33.21,33.03,32.95
5,2012-05-25,31.11,32.95,31.91,32.9
6,2012-05-29,28.65,31.69,28.84,31.48
7,2012-05-30,27.86,29.55,28.19,28.695
8,2012-05-31,26.83,29.67,29.6,28.545
9,2012-06-01,27.39,29.15,27.72,28.892
10,2012-06-04,26.44,27.65,26.9,27.2
11,2012-06-05,25.75,27.76,25.869,26.7
12,2012-06-06,25.52,27.17,26.81,26.07
13,2012-06-07,26.15,27.35,26.31,27.0
14,2012-06-08,26.44,27.76,27.1,26.55
15,2012-06-11,26.835,28.07,27.005,27.18
16,2012-06-12,26.96,27.77,27.4,27.48
17,2012-06-13,27.1,28.1,27.27,27.66
18,2012-06-14,27.38,28.32,28.29,27.65
19,2012-06-15,28.35,30.1,30.014,28.505
20,2012-06-18,29.41,32.08,31.41,29.955
21,2012-06-19,30.7,32.18,31.911,31.535
22,2012-06-20,31.15,31.9288,31.6,31.92
23,2012-06-21,31.51,32.5,31.84,31.67
24,2012-06-22,32.06,33.45,33.05,32.41
25,2012-06-25,31.55,33.02,32.06,32.86
26,2012-06-26,32.5,33.44,33.1,32.69
27,2012-06-27,31.9,32.9,32.23,32.46
28,2012-06-28,30.9,32.19,31.36,31.96
29,2012-06-29,30.76,31.99,31.095,31.92
30,2012-07-02,30.55,31.73,30.771,31.25
31,2012-07-03,30.8,31.44,31.2,30.91
32,2012-07-05,31.02,31.625,31.47,31.32
33,2012-07-06,31.26,31.9,31.73,31.44
34,2012-07-09,31.99,32.88,32.17,32.1
35,2012-07-10,31.1599,32.48,31.47,32.43
36,2012-07-11,30.55,31.56,30.97,31.48
37,2012-07-12,30.6,31.4,30.81,30.7
38,2012-07-13,30.56,31.07,30.72,31.04
39,2012-07-16,28.21,30.5,28.245,30.5
40,2012-07-17,27.15,28.59,28.09,28.48
41,2012-07-18,28.15,29.29,29.11,28.31
42,2012-07-19,28.63,29.5,29.0,29.41
43,2012-07-20,28.72,29.47,28.76,29.0
44,2012-07-23,28.01,29.0,28.75,28.12
45,2012-07-24,28.1,29.45,28.45,28.82
46,2012-07-25,28.08,29.49,29.34,28.39
47,2012-07-26,26.73,28.23,26.845,27.75
48,2012-07-27,22.28,24.54,23.705,23.19
49,2012-07-30,23.03,24.04,23.15,23.995
50,2012-07-31,21.61,23.37,21.71,23.37
51,2012-08-01,20.84,21.58,20.88,21.5
52,2012-08-02,19.82,20.84,20.04,20.77
53,2012-08-03,19.9,22.16,21.09,20.36
54,2012-08-06,21.3,22.15,21.92,21.39
55,2012-08-07,20.5,22.45,20.72,22.2
56,2012-08-08,20.22,21.15,20.72,20.71
57,2012-08-09,20.61,21.17,21.01,20.75
58,2012-08-10,21.13,21.82,21.807,21.41
59,2012-08-13,21.4,22.45,21.6,22.15
60,2012-08-14,20.25,21.6,20.38,21.41
61,2012-08-15,20.4,21.41,21.2,20.64
62,2012-08-16,19.69,20.48,19.87,20.44
63,2012-08-17,19.0,20.08,19.05,20.005
64,2012-08-20,18.75,20.13,20.011,19.05
65,2012-08-21,19.09,19.98,19.159,19.58
66,2012-08-22,18.96,19.53,19.439,19.36
67,2012-08-23,19.36,19.73,19.44,19.5
68,2012-08-24,19.25,19.68,19.409,19.52
69,2012-08-27,19.1,19.53,19.15,19.49
70,2012-08-28,18.95,19.38,19.34,19.1
71,2012-08-29,19.07,19.38,19.1,19.32
72,2012-08-30,19.06,19.45,19.0885,19.27
73,2012-08-31,18.03,18.7,18.058,18.68
74,2012-09-04,17.55,18.27,17.729,18.08
75,2012-09-05,18.18,18.75,18.58,18.27
76,2012-09-06,18.72,19.2617,18.96,18.74
77,2012-09-07,18.78,19.42,18.98,19.1
78,2012-09-10,18.55,19.2,18.81,19.06
79,2012-09-11,18.85,19.581,19.43,18.92
80,2012-09-12,20.28,21.16,20.931,20.76
81,2012-09-13,20.61,21.48,20.713,20.955
82,2012-09-14,20.9,22.08,22.0,21.13
83,2012-09-17,21.5,22.75,21.52,22.67
84,2012-09-18,21.37,21.98,21.87,21.6
85,2012-09-19,21.77,23.37,23.29,21.99
86,2012-09-20,22.54,23.24,22.59,23.02
87,2012-09-21,22.6,23.24,22.86,22.97
88,2012-09-24,20.3625,21.98,20.79,21.78
89,2012-09-25,20.22,21.21,20.28,21.2
90,2012-09-26,19.8,20.78,20.62,20.145
91,2012-09-27,20.16,21.0,20.32,20.99
92,2012-09-28,20.5,21.95,21.66,20.57
93,2012-10-01,21.73,22.59,21.99,22.08
94,2012-10-02,21.82,22.49,22.27,22.08
95,2012-10-03,21.8,22.49,21.83,22.295
96,2012-10-04,21.41,22.4,21.9475,22.32
