,Date,Low,High,Close,Open
0,1998-01-02,61.88,64.63,64.56,62.56
1,1998-01-05,63.56,65.5,64.13,64.63
2,1998-01-06,63.5,64.56,64.31,63.56
3,1998-01-07,62.81,64.88,64.88,63.94
4,1998-01-08,64.0,65.69,65.19,64.5
5,1998-01-09,61.56,65.31,62.0,65.19
6,1998-01-12,60.56,63.44,62.19,60.56
7,1998-01-13,62.25,63.88,63.88,62.25
8,1998-01-14,62.38,63.94,63.0,63.94
9,1998-01-15,62.69,64.5,64.0,63.0
10,1998-01-16,63.56,64.94,63.75,64.63
11,1998-01-20,63.13,64.56,64.06,63.94
12,1998-01-21,62.69,63.63,63.06,63.06
13,1998-01-22,62.0,63.0,62.13,62.31
14,1998-01-23,61.19,62.44,61.63,62.0
15,1998-01-26,61.0,62.44,61.5,61.63
16,1998-01-27,61.56,63.81,63.38,61.88
17,1998-01-28,62.75,63.94,63.38,63.19
18,1998-01-29,60.5,62.31,60.5,61.0
19,1998-01-30,59.94,60.88,60.13,60.69
20,1998-02-02,60.81,62.19,61.75,60.81
21,1998-02-03,59.81,61.13,60.25,61.06
22,1998-02-04,60.0,61.25,60.5,60.06
23,1998-02-05,61.44,62.63,61.69,61.69
24,1998-02-06,61.31,63.06,62.13,61.31
25,1998-02-09,61.06,62.25,61.31,61.81
26,1998-02-10,62.13,64.44,63.38,62.44
27,1998-02-11,62.31,64.06,62.5,63.19
28,1998-02-12,60.88,62.63,62.38,62.13
29,1998-02-13,61.44,62.25,61.88,61.81
30,1998-02-17,61.5,62.94,61.63,62.88
31,1998-02-18,61.06,63.44,63.13,61.5
32,1998-02-19,63.56,65.44,64.94,63.69
33,1998-02-20,63.63,65.06,64.94,64.5
34,1998-02-23,64.13,65.69,64.38,65.19
35,1998-02-24,62.0,64.31,62.56,64.25
36,1998-02-25,63.25,64.94,64.63,63.44
37,1998-02-26,64.13,65.38,65.0,64.69
38,1998-02-27,66.5,67.94,67.0,66.81
39,1998-03-02,65.19,67.75,65.25,67.13
40,1998-03-03,64.13,64.81,64.5,64.38
41,1998-03-04,62.5,65.31,62.5,64.38
42,1998-03-05,61.31,63.06,61.94,63.0
43,1998-03-06,61.13,62.75,61.56,61.25
44,1998-03-09,60.13,61.13,60.25,60.81
45,1998-03-10,60.5,61.63,61.5,60.5
46,1998-03-11,60.56,62.44,60.63,61.75
47,1998-03-12,60.25,62.13,61.88,60.56
48,1998-03-13,61.31,62.38,61.75,62.06
49,1998-03-16,61.25,62.38,62.19,62.06
50,1998-03-17,61.0,62.38,61.44,62.19
51,1998-03-18,61.06,62.69,62.63,61.94
52,1998-03-19,62.56,63.63,62.81,63.0
53,1998-03-20,62.25,64.0,62.81,64.0
54,1998-03-23,62.38,64.5,63.25,62.56
55,1998-03-24,63.44,64.31,63.5,63.88
56,1998-03-25,63.81,65.0,64.75,64.69
57,1998-03-26,63.31,64.5,63.88,64.0
58,1998-03-27,62.63,64.19,62.81,64.13
59,1998-03-30,62.63,63.44,63.13,63.0
60,1998-03-31,63.38,64.44,63.38,63.94
61,1998-04-01,62.0,63.94,62.56,63.94
62,1998-04-02,62.0,63.25,62.88,62.19
63,1998-04-03,62.19,63.25,62.56,63.19
64,1998-04-06,61.56,62.94,61.88,62.63
65,1998-04-07,60.56,61.94,60.75,61.31
66,1998-04-08,60.06,60.94,60.25,60.5
67,1998-04-09,60.44,61.25,61.06,60.5
68,1998-04-13,60.44,61.06,61.0,61.06
69,1998-04-14,60.5,61.5,60.94,60.75
70,1998-04-15,61.06,64.19,63.75,61.69
71,1998-04-16,61.69,63.44,62.19,63.13
72,1998-04-17,62.0,63.75,63.44,62.44
73,1998-04-20,62.56,64.75,64.38,62.56
