,Date,Low,High,Close,Open
0,2002-05-23,16.04,17.4,1.1964,16.19
1,2002-05-24,16.76,17.15,1.21,17.0
2,2002-05-28,16.2,17.25,1.1571,16.99
3,2002-05-29,15.2,16.3,1.1036,16.3
4,2002-05-30,15.0,15.51,1.0714,15.51
5,2002-05-31,15.0,15.1,1.0764,15.1
6,2002-06-03,15.07,16.09,1.1286,15.12
7,2002-06-04,15.55,15.96,1.1179,15.9
8,2002-06-05,15.5,16.23,1.1471,15.55
9,2002-06-06,16.08,17.25,1.1821,16.1
10,2002-06-07,15.45,16.49,1.1186,16.49
11,2002-06-10,15.89,16.45,1.1564,15.89
12,2002-06-11,15.8,16.64,1.1536,16.19
13,2002-06-12,15.25,16.55,1.0929,16.15
14,2002-06-13,15.12,15.71,1.0829,15.46
15,2002-06-14,13.72,15.2,0.9864,15.15
16,2002-06-17,12.85,14.83,0.9221,14.19
17,2002-06-18,11.79,13.15,0.9107,13.14
18,2002-06-19,12.5,13.95,0.9514,12.76
19,2002-06-20,13.3,14.56,0.9571,13.6
20,2002-06-21,13.27,13.85,0.9793,13.75
21,2002-06-24,13.4,14.2,0.9786,13.71
22,2002-06-25,13.26,14.1,0.9643,13.84
23,2002-06-26,12.9,13.95,0.9886,13.49
24,2002-06-27,13.21,14.26,0.9436,14.13
25,2002-06-28,13.45,14.19,0.9993,13.45
26,2002-07-01,13.9,14.65,1.0279,14.0
27,2002-07-02,14.55,16.74,1.1729,14.75
28,2002-07-03,15.65,17.0,1.2143,16.5
29,2002-07-05,16.99,18.19,1.2764,17.0
30,2002-07-08,16.35,17.53,1.1757,17.53
31,2002-07-09,15.6,16.75,1.1607,16.45
32,2002-07-10,15.85,16.5,1.1636,16.26
33,2002-07-11,15.86,17.9,1.2693,16.16
34,2002-07-12,16.9,17.92,1.2079,17.9
35,2002-07-15,15.07,17.48,1.1429,17.4
36,2002-07-16,15.46,16.2,1.1264,16.14
37,2002-07-17,15.06,16.29,1.0893,16.03
38,2002-07-18,15.55,16.33,1.1493,15.64
39,2002-07-19,15.71,16.25,1.16,16.14
40,2002-07-22,15.62,16.51,1.1707,15.9
41,2002-07-23,15.83,16.99,1.1464,16.47
42,2002-07-24,15.04,16.23,1.1143,16.05
43,2002-07-25,14.49,15.79,1.0364,15.75
44,2002-07-26,11.9,14.82,0.8714,14.7
45,2002-07-29,11.9,12.94,0.8764,12.55
46,2002-07-30,12.51,13.2,0.9143,12.51
47,2002-07-31,12.68,13.44,0.9536,13.0
48,2002-08-01,12.29,13.44,0.8914,13.3
49,2002-08-02,9.89,12.43,0.7779,12.41
50,2002-08-05,10.65,11.38,0.775,10.9
51,2002-08-06,10.4,11.25,0.7607,11.14
52,2002-08-07,10.4,11.11,0.7936,10.65
53,2002-08-08,10.51,11.25,0.7964,11.15
54,2002-08-09,10.9,11.5,0.7871,11.18
55,2002-08-12,10.55,11.3,0.7571,11.24
56,2002-08-13,10.56,11.27,0.7729,10.75
57,2002-08-14,10.8,11.67,0.8336,10.86
58,2002-08-15,11.66,12.75,0.8829,11.72
59,2002-08-16,12.0,12.94,0.9129,12.5
60,2002-08-19,12.85,13.78,0.9821,12.95
